"date","platform","post","status","remoteId","message","publishedAt"







"2026-09-13","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 08:08:17 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AXVQI-UjGXGnvJXeckBkZTj""}}","2026-09-13T15:08:17.387Z"
"2026-09-13","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 08:08:17 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AOKkukUxxlVbzW6ePyPRusA""}}","2026-09-13T15:08:17.388Z"
"2026-09-13","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 11:07:19 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ArBRA9h_YXmPEtJwURBP_Q4""}}","2026-09-13T18:07:19.830Z"
"2026-09-13","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 11:07:19 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Aa2CwEY4r67SlaMnI0uOs0E""}}","2026-09-13T18:07:19.830Z"
"2026-09-13","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 13:42:35 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Az0r3_yDFovZQAeuSqBkfIO""}}","2026-09-13T20:42:35.790Z"
"2026-09-13","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 13:42:35 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AUan1dYo63CCiGOyycNfxJB""}}","2026-09-13T20:42:35.790Z"
"2026-09-13","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 15:37:29 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AdGKDjSdRK0SC_UxhzRXgkP""}}","2026-09-13T22:37:29.499Z"
"2026-09-13","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 13-Sep-26 15:37:29 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AZ6ebI_W73fqyY10TBUF9HN""}}","2026-09-13T22:37:29.499Z"
