"date","platform","post","status","remoteId","message","publishedAt"





"2026-09-12","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 05:51:29 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ABRXWNpEsPasWMt6r50vqkS""}}","2026-09-12T12:51:29.263Z"
"2026-09-12","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 08:53:45 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ApdjIxTAYeh1gLb8GhwUTVN""}}","2026-09-12T15:53:45.232Z"
"2026-09-12","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 08:53:45 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AEM7XsNxT0lSmEYA8xbWuT9""}}","2026-09-12T15:53:45.232Z"
"2026-09-12","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 10:54:43 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ANFC1q4HHJjupoWpVqSBGL2""}}","2026-09-12T17:54:43.823Z"
"2026-09-12","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 10:54:43 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Anjh4d352-gC9JeVfhzMjHa""}}","2026-09-12T17:54:43.823Z"
"2026-09-12","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 12:43:38 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Ay3O0nmFPmkji1fuzEeGPJU""}}","2026-09-12T19:43:38.864Z"
"2026-09-12","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 12:43:38 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AOWiGeSxdj_NF1GYN4t3HV6""}}","2026-09-12T19:43:38.865Z"
"2026-09-12","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 14:40:35 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AvMxVdd-O_RtCD9ScNfauHa""}}","2026-09-12T21:40:36.264Z"
"2026-09-12","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 14:40:36 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Aesdd_XLvqEh-Jcc-fXCKOk""}}","2026-09-12T21:40:36.264Z"
"2026-09-12","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Saturday, 12-Sep-26 16:23:45 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AJ1OwEHL9GZwEN9CTgpMl3F""}}","2026-09-12T23:23:45.732Z"
