"date","platform","post","status","remoteId","message","publishedAt"

"2026-06-09","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AUVINyYIMJcRQ2odYnBHOC0""}}","2026-06-09T13:33:10.088Z"
"2026-06-09","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AEz3uV_ZyNRA0rfExkP_ej9""}}","2026-06-09T16:18:46.561Z"
"2026-06-09","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""A9hbE7Qxg0_ueEXDhhBe_--""}}","2026-06-09T16:18:46.561Z"
"2026-06-09","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AmnRG2VxFNZyWxoghSA4cgi""}}","2026-06-09T18:23:02.583Z"
"2026-06-09","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""ASsV-VsI_BxszTF5-sM5j91""}}","2026-06-09T18:23:02.583Z"
"2026-06-09","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AWR_8jBSMuEyR8XekXnT7it""}}","2026-06-09T20:22:49.311Z"
"2026-06-09","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""ADGXtldYXWeHiC5xElfjRb6""}}","2026-06-09T20:22:49.311Z"
"2026-06-09","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AXpP3pmHyCAs9w7fGAttqXO""}}","2026-06-09T22:00:41.472Z"
"2026-06-09","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AhHTUKIFSukqP0WriGlH6tJ""}}","2026-06-09T22:00:41.472Z"
"2026-06-09","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""A9Yywc1BgQnhsewPej31aFb""}}","2026-06-09T23:24:56.556Z"
"2026-06-09","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""AoxmRaOnqOLCgC_UQdIg5OL""}}","2026-06-09T23:24:56.556Z"
"2026-06-09","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""API access blocked."",""type"":""OAuthException"",""code"":200,""fbtrace_id"":""A6Vb12VO6mXBZAv3SbKnBL7""}}","2026-06-10T01:34:05.820Z"

