"date","platform","post","status","remoteId","message","publishedAt"




"2026-09-22","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 07:55:07 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AspQE-w1tjH5pS5M2SEShQ0""}}","2026-09-22T14:55:07.920Z"
"2026-09-22","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 07:55:07 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AwaobvJOg_B8rgQmR0R-s1L""}}","2026-09-22T14:55:07.920Z"
"2026-09-22","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 11:21:59 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Aqo00TpEMt4KRsSdPGw3sDi""}}","2026-09-22T18:22:00.067Z"
"2026-09-22","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 11:22:00 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A06pDHU5bAKe0BPgmgsMtWT""}}","2026-09-22T18:22:00.067Z"
"2026-09-22","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 14:29:58 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AMtG8RR55B4Ugk0aAwFkUaR""}}","2026-09-22T21:29:58.903Z"
"2026-09-22","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 14:29:58 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A5Ul1p_D7eH_LfC4Nuf9Lg0""}}","2026-09-22T21:29:58.903Z"
"2026-09-22","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 16:42:44 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AqSyUNp0qx2as9snH9MVaSJ""}}","2026-09-22T23:42:44.301Z"
"2026-09-22","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 16:42:44 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AW2WaG0a-C5SAo8OfSTcKKS""}}","2026-09-22T23:42:44.302Z"
"2026-09-22","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 22-Sep-26 18:48:29 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A0W4xIDUtFhaDF3awMetMft""}}","2026-09-23T01:48:29.300Z"


