"date","platform","post","status","remoteId","message","publishedAt"





"2026-09-25","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Friday, 25-Sep-26 08:16:07 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A8LWh2ZuotWoDad9z6AEBGH""}}","2026-09-25T15:16:07.194Z"
"2026-09-25","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Friday, 25-Sep-26 08:16:07 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Aq_ciIguPdmaNk0ycqBp36F""}}","2026-09-25T15:16:07.194Z"
"2026-09-25","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Friday, 25-Sep-26 12:15:33 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ABD3YzyeMkRPh6G6zb0ge_J""}}","2026-09-25T19:15:33.700Z"
"2026-09-25","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Friday, 25-Sep-26 12:15:33 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AvCAISJeXfRBd3wCd8UDUAG""}}","2026-09-25T19:15:33.701Z"
"2026-09-25","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Friday, 25-Sep-26 15:21:16 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A7T7S80a4h8YCxkPKjlWFAO""}}","2026-09-25T22:21:16.796Z"
"2026-09-25","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Friday, 25-Sep-26 15:21:16 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A-4Xq7-AL29Dy7E5ZYHr2fA""}}","2026-09-25T22:21:16.796Z"
"2026-09-25","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Friday, 25-Sep-26 17:41:51 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ANxB8ViZq4ndHQBSAuThQmV""}}","2026-09-26T00:41:51.954Z"


