"date","platform","post","status","remoteId","message","publishedAt"














"2026-07-26","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T12:44:03.107Z"
"2026-07-26","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T14:14:59.961Z"
"2026-07-26","Threads","Threads Post 1","failed","","Threads create error 500: ","2026-07-26T15:31:46.899Z"
"2026-07-26","Threads","Threads Post 2","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T15:31:46.899Z"
"2026-07-26","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T16:28:44.640Z"
"2026-07-26","Threads","Threads Post 2","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T16:28:44.641Z"
"2026-07-26","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T17:31:42.525Z"
"2026-07-26","Threads","Threads Post 2","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T17:31:42.525Z"
"2026-07-26","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T18:36:17.130Z"
"2026-07-26","Threads","Threads Post 2","failed","","Threads create error 500: ","2026-07-26T18:36:17.131Z"
"2026-07-26","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-26T19:46:24.239Z"
"2026-07-26","Threads","Threads Post 2","failed","","Threads create error 500: ","2026-07-26T19:46:24.239Z"
