"date","platform","post","status","remoteId","message","publishedAt"





"2026-09-03","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Thursday, 03-Sep-26 06:52:57 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AvIV9Uy4RYbjOgmMoOBKEqc""}}","2026-09-03T13:52:57.724Z"
"2026-09-03","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Thursday, 03-Sep-26 10:19:47 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AMfMpPxmZIVW1K8PqkRgETD""}}","2026-09-03T17:19:47.522Z"
"2026-09-03","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Thursday, 03-Sep-26 10:19:47 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AEUVZWgnQbln0U_2NVDNuNy""}}","2026-09-03T17:19:47.522Z"
"2026-09-03","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Thursday, 03-Sep-26 12:55:17 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AnQnyeGdv06mKy03UEogiKW""}}","2026-09-03T19:55:17.241Z"
"2026-09-03","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Thursday, 03-Sep-26 12:55:17 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AX0IfMb_VPjzq09IlEbmWlA""}}","2026-09-03T19:55:17.242Z"
