"date","platform","post","status","remoteId","message","publishedAt"





"2026-08-30","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 06:02:26 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ABSeFVv1CEQqzwt7G9iEy4I""}}","2026-08-30T13:02:26.147Z"
"2026-08-30","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 10:20:45 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A6oy4YfJOFqL6h78sze8wB6""}}","2026-08-30T17:20:45.534Z"
"2026-08-30","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 10:20:45 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AKTueRNhV7999cJ5EKVTcmi""}}","2026-08-30T17:20:45.534Z"
"2026-08-30","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 12:53:34 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ALYpl3tVCQEPdWfXWV9R49K""}}","2026-08-30T19:53:34.378Z"
"2026-08-30","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 12:53:34 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A6DWm4E3w1oUn523G2j9HQi""}}","2026-08-30T19:53:34.379Z"
"2026-08-30","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 15:09:46 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A4guB1RK3u0A7iw1oUxDv_V""}}","2026-08-30T22:09:46.922Z"
"2026-08-30","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 15:09:46 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A6RveJt_qbZCVnUspF14Prz""}}","2026-08-30T22:09:46.922Z"
"2026-08-30","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Sunday, 30-Aug-26 17:31:08 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A89NHtR4hg3EZhu942-XCWk""}}","2026-08-31T00:31:08.874Z"
