"date","platform","post","status","remoteId","message","publishedAt"










"2026-07-21","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-21T12:12:20.923Z"
"2026-07-21","Threads","Threads Post 1","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-21T14:21:35.872Z"
"2026-07-21","Threads","Threads Post 2","failed","","Threads create error 500: {""error"":{""code"":1,""message"":""An unknown error occurred""}}","2026-07-21T14:21:35.872Z"
