"date","platform","post","status","remoteId","message","publishedAt"




"2026-09-01","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 09:33:20 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AHxfNZxbIg8ey66E95IwjH3""}}","2026-09-01T16:33:20.351Z"
"2026-09-01","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 09:33:20 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""A6Gs_DQfSV3sXqTONnNHYAb""}}","2026-09-01T16:33:20.351Z"
"2026-09-01","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 12:30:59 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AXDD0whAVaduwBgdRqXQb3B""}}","2026-09-01T19:30:59.248Z"
"2026-09-01","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 12:30:59 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AE2cE0h0GebiDYNa_lKhDfn""}}","2026-09-01T19:30:59.248Z"
"2026-09-01","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 14:57:28 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""Abr62wJbkw_wxy0S4RhJBEt""}}","2026-09-01T21:57:29.034Z"
"2026-09-01","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 14:57:28 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AcPY8jBNu9-ug2-mBE3QnzH""}}","2026-09-01T21:57:29.034Z"
"2026-09-01","Threads","Threads Post 1","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 16:42:43 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""AuMH9gwASndw0s-hffIuBLa""}}","2026-09-01T23:42:43.591Z"
"2026-09-01","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 16:42:43 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ArgPy6NpF1i_ebHEzGjFTKa""}}","2026-09-01T23:42:43.591Z"
"2026-09-01","Threads","Threads Post 2","failed","","Threads create error 400: {""error"":{""message"":""Error validating access token: Session has expired on Thursday, 09-Jul-26 05:54:17 PDT. The current time is Tuesday, 01-Sep-26 18:25:17 PDT."",""type"":""OAuthException"",""code"":190,""error_subcode"":0,""fbtrace_id"":""ADet7p--vktocfBlzhSzbnY""}}","2026-09-02T01:25:17.512Z"

